Temperature (C),Weight % (%)
428.22,96.971
429.22,96.969
430.22,96.96
431.22,96.958
432.22,96.954
433.22,96.948
434.22,96.945
435.22,96.941
436.22,96.937
437.22,96.937
438.22,96.935
439.22,96.933
440.22,96.931
441.22,96.929
442.22,96.928
443.22,96.928
444.22,96.924
445.22,96.92
446.22,96.916
447.22,96.912
448.22,96.911
449.22,96.907
450.22,96.903
451.22,96.899
452.22,96.896
453.22,96.896
454.22,96.896
455.22,96.896
456.22,96.896
457.22,96.892
458.22,96.89
459.22,96.886
460.22,96.884
461.22,96.882
462.22,96.882
463.22,96.88
464.22,96.879
465.22,96.877
466.22,96.877
467.22,96.875
468.22,96.874
469.22,96.873
470.22,96.873
471.22,96.871
472.22,96.869
473.22,96.869
474.22,96.867
475.22,96.865
476.22,96.865
477.22,96.864
478.22,96.86
479.22,96.858
480.22,96.86
481.22,96.858
482.22,96.858
483.22,96.86
484.22,96.856
485.22,96.854
486.22,96.85
487.22,96.848
488.22,96.847
489.22,96.845
490.22,96.847
491.22,96.845
492.22,96.843
493.22,96.843
494.22,96.839
495.22,96.835
496.22,96.833
497.22,96.831
498.22,96.833
499.22,96.833
500.22,96.831
501.22,96.83
502.22,96.828
503.22,96.826
504.22,96.826
505.22,96.824
506.22,96.824
507.22,96.822
508.22,96.82
509.22,96.82
510.22,96.818
511.22,96.818
512.22,96.82
513.22,96.818
514.22,96.818
515.22,96.818
516.22,96.816
517.22,96.816
518.22,96.815
519.22,96.813
520.22,96.811
521.22,96.809
522.22,96.809
523.22,96.809
524.22,96.809
525.22,96.807
526.22,96.805
527.22,96.805
528.22,96.803
529.22,96.803
530.22,96.803
531.22,96.801
532.22,96.801
533.22,96.801
534.22,96.801
535.22,96.799
536.22,96.799
537.22,96.796
538.22,96.796
539.22,96.796
540.22,96.794
541.22,96.792
542.22,96.79
543.22,96.788
544.22,96.788
545.22,96.788
546.22,96.784
547.22,96.783
548.22,96.783
549.22,96.781
550.22,96.781
551.22,96.783
552.22,96.786
553.22,96.786
554.22,96.786
555.22,96.781
556.22,96.777
557.22,96.775
558.22,96.774
559.22,96.771
560.22,96.769
561.22,96.766
562.22,96.762
563.22,96.767
564.22,96.764
565.22,96.762
566.22,96.76
567.22,96.758
568.22,96.758
569.22,96.756
570.22,96.756
571.22,96.754
572.22,96.752
573.22,96.753
574.22,96.752
575.22,96.752
576.22,96.752
577.22,96.749
578.22,96.747
579.22,96.747
580.22,96.745
581.22,96.745
582.22,96.745
583.22,96.745
584.22,96.745
